asdf_id,worldbank_geocodedresearchrelease_level1_v1_4_2.3161dcb.sum,ltdr_avhrr_ndvi_v4_yearly.2014.mean,NAME_2,NAME_0,NAME_1,VARNAME_2,TYPE_2,Shape_Area,ENGTYPE_2,Shape_Length,HASC_2,ID_2,CCA_2,ID_0,ID_1,ISO,CCN_2,NL_NAME_2
0,206883.477592,6630.36732836,Arizona,Honduras,Atlántida,,Municipio,0.041272,Municipality,1.382754,HN.AT.AR,1,,101,1,HND,,
1,120797.409751,6228.89067119,El Porvenir,Honduras,Atlántida,,Municipio,0.02481,Municipality,1.069044,HN.AT.EP,2,,101,1,HND,,
2,202484.743757,6854.27713498,Esparta,Honduras,Atlántida,,Municipio,0.040838,Municipality,1.716063,HN.AT.ES,3,,101,1,HND,,
3,214575.268735,7067.59962375,Jutiapa,Honduras,Atlántida,,Municipio,0.045325,Municipality,0.998206,HN.AT.JU,4,,101,1,HND,,
4,273916.130768,6854.48619953,La Ceiba,Honduras,Atlántida,,Municipio,0.056102,Municipality,1.484207,HN.AT.LC,5,,101,1,HND,,
5,195792.218801,6646.5644741,La Masica,Honduras,Atlántida,,Municipio,0.039185,Municipality,1.319569,HN.AT.LM,6,,101,1,HND,,
6,118988.987024,6727.85877492,San Francisco,Honduras,Atlántida,,Municipio,0.024107,Municipality,1.085658,HN.AT.SF,7,,101,1,HND,,
7,509991.837084,7169.66676551,Tela,Honduras,Atlántida,,Municipio,0.103654,Municipality,2.348542,HN.AT.TE,8,,101,1,HND,,
8,4577.76325178,6082.11186295,Apacilagua,Honduras,Choluteca,,Municipio,0.017955,Municipality,0.610101,HN.CH.AP,9,,101,2,HND,,
9,22502.1577769,6015.67541789,Choluteca,Honduras,Choluteca,,Municipio,0.091055,Municipality,2.646517,HN.CH.CH,10,,101,2,HND,,
10,3090.84971505,6812.7082476,Concepción de Maria,Honduras,Choluteca,,Municipio,0.013468,Municipality,0.562609,HN.CH.CM,11,,101,2,HND,,
11,1986.711028,5900.13153884,Duyure,Honduras,Choluteca,,Municipio,0.008779,Municipality,0.539417,HN.CH.DU,12,,101,2,HND,,
12,5039.67804125,6726.22949485,El Corpus,Honduras,Choluteca,,Municipio,0.019839,Municipality,0.726229,HN.CH.EC,13,,101,2,HND,,
13,5778.80536208,6444.83023192,El Triunfo,Honduras,Choluteca,,Municipio,0.024956,Municipality,0.737606,HN.CH.ET,14,,101,2,HND,,
14,9593.69301933,6161.08164262,Marcovia,Honduras,Choluteca,,Municipio,0.04127,Municipality,2.238444,HN.CH.MA,15,,101,2,HND,,
15,5823.62795843,5972.97056115,Morolica,Honduras,Choluteca,,Municipio,0.022974,Municipality,0.734522,HN.CH.MO,16,,101,2,HND,,
16,4431.32578073,6919.78482422,Namasigue,Honduras,Choluteca,,Municipio,0.017361,Municipality,0.663467,HN.CH.NA,17,,101,2,HND,,
17,2489.437321,5942.03440803,Orocuina,Honduras,Choluteca,,Municipio,0.009876,Municipality,0.546055,HN.CH.OR,18,,101,2,HND,,
18,7220.00492784,6527.15043974,Pespire,Honduras,Choluteca,,Municipio,0.028421,Municipality,0.910731,HN.CH.PE,19,,101,2,HND,,
19,1095.09774863,6503.75999287,San Antonio de Flores,Honduras,Choluteca,,Municipio,0.004324,Municipality,0.276351,HN.CH.SF,20,,101,2,HND,,
20,1438.90753268,6244.50691384,San Isidro,Honduras,Choluteca,,Municipio,0.005571,Municipality,0.293406,HN.CH.SI,21,,101,2,HND,,
21,1349.77165119,6611.78863391,San José,Honduras,Choluteca,,Municipio,0.005364,Municipality,0.3777,HN.CH.SJ,22,,101,2,HND,,
22,11847.9389638,6297.18634734,San Marcos de Colón,Honduras,Choluteca,,Municipio,0.050885,Municipality,1.051366,HN.CH.SM,23,,101,2,HND,,
23,1578.97812448,6721.74703155,Santa Ana de Yusguare,Honduras,Choluteca,,Municipio,0.006197,Municipality,0.387958,HN.CH.SY,24,,101,2,HND,,
24,17538.0698496,7117.59020712,Balfate,Honduras,Colón,,Municipio,0.03388,Municipality,1.272625,HN.CL.BA,25,,101,3,HND,,
25,11078.3145544,7067.1924923,Bonito Oriental,Honduras,Colón,,Municipio,0.043324,Municipality,1.21394,HN.CL.BO,26,,101,3,HND,,
